region,district,ward,latitude,longitude,onsite_offsite,bank_type,bank_name,bank_name_short,yr_operation_started,number_atms,services_deposits,services_withdrawls,services_bill_payment,services_buy_airtime,other_services,visa_mastercard,umoja_nmb
Dar es Salaam,Kinondoni,Manzese,-6.79649,39.21948,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,24/04/2008,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Mikocheni,-6.76596,39.25982,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,19/09/2009,1,,Yes,Yes,Yes,,Both, 
Zanzibar,Zanzibar,Mwera,-6.16188,39.1991,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,29/07/2011,1,,Yes,,,,Both, 
Tanga,Tanga,Central,-5.07031,39.10558,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,02/05/2006,1,,Yes,,,,Mastercard, 
Shinyanga,Shinyanga Urban,Shinyanga Mjini,-3.6712,33.42819,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,09/12/2011,1,,Yes,,,,Both, 
Arusha,Arusha,Ngarenaro,-3.37499,36.67888,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,07/09/2011,1,,Yes,,,,Both, 
Kilimanjaro,Moshi Urban,Kilimanjaro,-3.3481,37.34095,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,16/01/2005,1,,Yes,,,,Both, 
Arusha,Karatu,Karatu,-3.3389,35.6796,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,22/11/2008,1,,Yes,Yes,Yes,,Both, 
Mwanza,Nyamagana,Nyamagana,-2.60761,32.93232,On-site,Commercial Bank ATM,Exim Bank (Tanzania) Limited,Exim,19/01/2009,1,Yes,,,,,Both, 
Zanzibar,Zanzibar,Welezo,-6.16531,39.19464,On-site,Commercial Bank ATM,FBME Bank (Tanzania) Limited,FBME,06/05/2011,1,,Yes,,,,Both, 
Dar es Salaam,Temeke,Chang'ombe,-6.83952,39.25589,On-site,Commercial Bank ATM,First National Bank (Tanzania) Limited,First National,28/10/2011,2,,Yes,,,,VISA, 
Dar es Salaam,Ilala,Kariakoo,-6.82615,39.27845,On-site,Commercial Bank ATM,Habib African Bank Limited,Habib African,08/05/2013,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.82351,39.27913,On-site,Commercial Bank ATM,Habib African Bank Limited,Habib African,05/07/1995,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Upanga East,-6.81304,39.27713,On-site,Commercial Bank ATM,International Commercial Bank (Tanzania) Limited,International Commercial,06/01/2006,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.8172,39.27839,On-site,Commercial Bank ATM,International Commercial Bank (Tanzania) Limited,International Commercial,10/06/2009,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Mikocheni,-6.76953,39.26337,On-site,Commercial Bank ATM,International Commercial Bank (Tanzania) Limited,International Commercial,20/05/2010,1,,Yes,,,,Mastercard, 
Morogoro,Morogoro Urban,Boma,-6.82987,37.66493,On-site,Commercial Bank ATM,KCB Bank (Tanzania) Limited,KCB,25/01/2009,1,,Yes,,,,VISA, 
Dar es Salaam,Ilala,Kariakoo,-6.82361,39.27927,On-site,Commercial Bank ATM,KCB Bank (Tanzania) Limited,KCB,11/07/2005,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.82152,39.27252,On-site,Commercial Bank ATM,KCB Bank (Tanzania) Limited,KCB,10/11/2010,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.8194,39.27919,On-site,Commercial Bank ATM,KCB Bank (Tanzania) Limited,KCB,12/08/2011,1,,Yes,,,,Both, 
Kilimanjaro,Moshi Urban,Kilimanjaro,-3.34851,37.34202,On-site,Commercial Bank ATM,KCB Bank (Tanzania) Limited,KCB,15/02/2010,1,,Yes,,,,VISA, 
Mwanza,Nyamagana,Nyamagana,-2.51857,32.89851,On-site,Commercial Bank ATM,KCB Bank (Tanzania) Limited,KCB,05/07/2000,1,Yes,,,,,VISA, 
Dar es Salaam,Ilala,Kariakoo,-6.82357,39.27223,On-site,UMOJA SWITCH ATM,Mkombozi Commercial Bank Plc,Mkombozi Commercial Plc,24/03/2013,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Ilala,-6.82338,39.25992,On-site,UMOJA SWITCH ATM,Mkombozi Commercial Bank Plc,Mkombozi Commercial Plc,03/01/2013,1,,Yes,,,,Both, 
Mwanza,Ilemela,Nyakato,-2.51763,32.89889,On-site,Commercial Bank ATM,Mkombozi Commercial Bank Plc,Mkombozi Commercial Plc,26/02/2012,1,,Yes,,,,Both, 
Mtwara,Tandahimba,Tandahimba,-10.76841,39.63179,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,19/01/1995,1,,Yes,Yes,Yes,,Both,NMB Bank Card
Mtwara,Masasi,Masasi,-10.72288,38.81641,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,30/05/1997,2,,Yes,Yes,Yes,,VISA,NMB Bank Card
Lindi,Nachingwea,Nambambo,-10.3624,38.76111,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,02/01/2009,2,Yes,Yes,,,,Both,NMB Bank Card
Lindi,Lindi Urban,Makonde,-9.99815,39.71533,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,01/02/1997,2,Yes,Yes,,,,Both,NMB Bank Card
Mbeya,Kyela,Kyela Mjini,-9.60426,33.87125,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,21/12/1999,2,,Yes,,,,Both,NMB Bank Card
Iringa,Njombe,Njombe Mjini,-9.33128,34.7682,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,08/11/2007,1,,Yes,,Yes,,Both,NMB Bank Card
Mbeya,Mbozi,Tunduma,-9.31202,32.76568,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,21/07/2006,2,,Yes,Yes,Yes,,Both,NMB Bank Card
Mbeya,Mbozi,Vwawa,-9.11135,32.9332,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,10/07/2005,2,,Yes,Yes,Yes,,Both,NMB Bank Card
Mbeya,Mbeya Rural,Utengule Usongwe,-8.93509,33.34227,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,01/08/2010,2,,Yes,Yes,Yes,,Both,NMB Bank Card
Lindi,Kilwa,Masoko,-8.93046,39.51283,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,03/01/1995,2,Yes,Yes,,,,Both,NMB Bank Card
Mbeya,Mbeya Urban,Sisimba,-8.89446,33.44079,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,07/07/2007,3,,Yes,,,,Both,NMB Bank Card
Mbeya,Mbeya Urban,Sisimba,-8.89198,33.44306,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,09/07/2008,2,,Yes,Yes,Yes,,Both,NMB Bank Card
Iringa,Njombe,Makambako,-8.8441,34.8233,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,10/08/2006,2,,Yes,Yes,Yes,,Both,NMB Bank Card
Mbeya,Chunya,Itewe,-8.52404,33.4228,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,08/05/2003,2,,Yes,,,,Both,NMB Bank Card
Morogoro,Kilombero,Ifakara,-8.13773,36.67975,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,18/09/2005,3,,Yes,,,,VISA,NMB Bank Card
Rukwa,Sumbawanga Urban,Katandala,-7.96013,31.6109,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,19/06/2008,3,,Yes,,,,Both,NMB Bank Card
Pwani,Rufiji,Kibiti,-7.72383,38.93874,On-site,UMOJA SWITCH ATM,National Microfinance Bank Plc,NMB,26/02/2004,1,,Yes,,,,Both,NMB Bank Card
Morogoro,Kilombero,Kidatu,-7.66178,36.98775,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,01/05/2009,3,,Yes,Yes,Yes,,VISA,NMB Bank Card
Rukwa,Nkansi,Namanyere,-7.50237,31.0397,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,28/08/2009,2,,Yes,Yes,Yes,,Both,NMB Bank Card
Pwani,Kisarawe,Kisarawe,-6.90541,39.07387,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,01/01/1997,2,,Yes,Yes,,,Both,NMB Bank Card
Dar es Salaam,Ilala,Ukonga,-6.8654,39.20173,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,07/05/2010,1,,Yes,,,,Both,NMB Bank Card
Mtwara,Masasi,Mwena,-6.86232,39.20758,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,02/12/1993,3,,Yes,Yes,Yes,,VISA,NMB Bank Card
Dar es Salaam,Ilala,Kariakoo,-6.83716,39.24495,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,09/10/2010,1,,Yes,,,,Mastercard,NMB Bank Card
Dar es Salaam,Ilala,Segerea,-6.82777,39.20235,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,18/04/2010,1,,Yes,,,,VISA,NMB Bank Card
Dar es Salaam,Ilala,Ilala,-6.82676,39.26466,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,07/09/2008,1,,Yes,,,,Both,NMB Bank Card
Dar es Salaam,Ilala,Ilala,-6.8263,39.26454,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,08/08/2009,1,,Yes,,,,Both,NMB Bank Card
Morogoro,Morogoro Urban,Kingo,-6.82351,37.66289,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,01/12/2010,2,,Yes,,,,VISA,NMB Bank Card
Dar es Salaam,Ilala,Kariakoo,-6.82063,39.2734,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,08/04/2012,2,,Yes,,,,Both,NMB Bank Card
Dar es Salaam,Ilala,Kariakoo,-6.81947,39.27772,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,06/12/2013,1,,Yes,,,,Both,NMB Bank Card
Dar es Salaam,Ilala,Kivukoni,-6.8174,39.29011,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,09/08/1985,3,,Yes,Yes,Yes,,Both,NMB Bank Card
Dar es Salaam,Kinondoni,Mwananyamala,-6.78766,39.2531,On-site,Community Bank ATM,National Microfinance Bank Plc,NMB,30/10/2008,1,,Yes,Yes,Yes,,Both,NMB Bank Card
Dar es Salaam,Kinondoni,Kijitonyama,-6.77866,39.24693,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,14/02/2013,1,,Yes,,,,Mastercard,NMB Bank Card
Dar es Salaam,Kinondoni,Sinza,-6.77736,39.22794,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,24/01/2014,1,,Yes,,,,VISA,NMB Bank Card
Dar es Salaam,Kinondoni,Kijitonyama,-6.77101,39.23045,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,25/04/2005,1,,Yes,,,,Mastercard,NMB Bank Card
Dar es Salaam,Kinondoni,Kawe,-6.75376,39.22266,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,03/02/2008,1,,Yes,,,,Both,NMB Bank Card
Pwani,Bagamoyo,Dunda,-6.4465,38.90784,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,01/10/1997,2,,Yes,Yes,Yes,,VISA,NMB Bank Card
Dodoma,Mpwapwa,Mpwapwa Mjini,-6.34931,36.48761,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,19/04/2003,1,Yes,Yes,Yes,Yes,,Both,NMB Bank Card
Rukwa,Mpanda,Kashaulili,-6.33942,31.07008,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,23/01/2008,2,,Yes,,,,Both,NMB Bank Card
Dodoma,Dodoma Urban,Ng'ong'ona,-6.22099,35.81016,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,28/06/2013,3,,Yes,,,,Both,NMB Bank Card
Dodoma,Kongwa,Kongwa,-6.19741,36.41432,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,16/01/2009,2,Yes,Yes,Yes,Yes,,Both,NMB Bank Card
Dodoma,Dodoma Urban,Viwandani,-6.17945,35.74683,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,03/09/2007,3,,Yes,Yes,Yes,,Both,NMB Bank Card
Dodoma,Dodoma Urban,Madukani,-6.17909,35.74774,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,16/04/2011,1,,Yes,,,,Both,NMB Bank Card
Singida,Manyoni,Manyoni,-5.74772,34.83773,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,25/05/2007,2,,Yes,,,,Both,NMB Bank Card
Singida,Manyoni,Itigi,-5.69517,34.49945,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,20/10/2010,1,,Yes,,,,Both,NMB Bank Card
Tabora,Sikonge,Sikonge,-5.61063,32.74508,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,08/09/2004,2,,Yes,Yes,Yes,,Both,NMB Bank Card
Tabora,Tabora Urban,Kanyenye,-5.02167,32.80696,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,27/02/2003,4,,Yes,Yes,Yes,,Both,NMB Bank Card
Dodoma,Kondoa,Kondoa Mjini,-4.90827,35.78942,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,07/01/2006,2,Yes,Yes,Yes,Yes,,Both,NMB Bank Card
Kigoma,Kigoma Urban,Kigoma town,-4.88101,29.63157,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,01/01/1970,1,,Yes,,,,VISA,NMB Bank Card
Singida,Singida Urban,Majengo,-4.81903,34.75194,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,06/07/2005,4,,Yes,,,,Both,NMB Bank Card
Tabora,Igunga,Igunga,-4.2847,33.87464,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,08/09/2003,1,,Yes,Yes,Yes,,VISA,NMB Bank Card
Singida,Iramba,Kiomboi,-4.27827,34.40677,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,24/04/2009,2,,Yes,,,,Both,NMB Bank Card
Manyara,Babati,Babati,-4.21469,35.74791,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,01/07/1997,4,,Yes,,,,Both,NMB Bank Card
Shinyanga,Bukombe,Ushirombo,-3.47143,31.90143,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,03/09/2004,2,,Yes,,,,VISA,NMB Bank Card
Arusha,Arumeru,Usa River,-3.37327,36.84548,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,01/07/2013,1,,Yes,Yes,Yes,,Both,NMB Bank Card
Arusha,Arusha,Kati,-3.37288,36.68613,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,15/06/2012,3,,Yes,,,,Both,NMB Bank Card
Arusha,Arusha,Kati,-3.37254,36.6935,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,13/10/2000,1,,Yes,,Yes,,VISA,NMB Bank Card
Kilimanjaro,Rombo,Mahida Holili,-3.35396,37.3399,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,21/10/2001,3,,Yes,,,,VISA,NMB Bank Card
Mwanza,Geita,Kalangala,-2.87323,32.22885,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,02/01/1995,3,Yes,,,,,VISA,NMB Bank Card
Mwanza,Sengerema,Sengerema,-2.65134,32.64389,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,24/02/1999,3,Yes,,,,,VISA,NMB Bank Card
Mwanza,Magu,Kiloleni,-2.59362,33.44332,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,01/01/2007,3,Yes,,,,,VISA,NMB Bank Card
Arusha,Monduli,Namanga,-2.55965,36.78003,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,01/10/2013,1,,Yes,Yes,Yes,,Both,NMB Bank Card
Mwanza,Nyamagana,Nyamagana,-2.53552,32.93788,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,07/01/2012,3,Yes,,,,,Mastercard,NMB Bank Card
Mwanza,Ilemela,Nyakato,-2.53541,32.93833,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,20/04/2012,3,,Yes,,,,Both,NMB Bank Card
Mwanza,Nyamagana,Nyamagana,-2.51962,32.89897,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,17/02/2009,3,Yes,,,,,VISA,NMB Bank Card
Mwanza,Ilemela,Kirumba,-2.51933,32.89887,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,25/02/2002,4,,Yes,,,,Both,NMB Bank Card
Mwanza,Ilemela,Kirumba,-2.51886,32.89866,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,10/04/1999,3,,Yes,,,,Both,NMB Bank Card
Mwanza,Nyamagana,Nyamagana,-2.5187,32.89767,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,23/01/2010,3,Yes,,,,,VISA,NMB Bank Card
Mwanza,Nyamagana,Nyamagana,-2.51828,32.89843,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,01/03/2001,4,Yes,,,,,VISA,NMB Bank Card
Mara,Serengeti,Mugumu Mjini,-2.02241,33.87113,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,25/01/2012,2,,Yes,,,,Both,NMB Bank Card
Mara,Musoma Urban,Mukendo,-1.49664,33.80637,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,10/03/2012,3,,Yes,,,,Both,NMB Bank Card
Mara,Tarime,Tarime,-1.34215,34.37668,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,19/03/2011,3,,Yes,,,,Both,NMB Bank Card
Mtwara,Masasi,Masasi,-10.72301,38.81559,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,11/02/2014,2,,Yes,,,,VISA, 
Ruvuma,Songea Urban,Songea Mjini,-10.67798,35.6501,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,27/11/2010,3,,Yes,,,,Both, 
Lindi,Lindi Urban,Msinjahili,-10.00052,39.71807,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,02/01/1990,1,Yes,Yes,,,,Both, 
Mbeya,Mbozi,Tunduma,-9.30519,32.76339,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,16/05/2008,2,,Yes,Yes,Yes,,Mastercard, 
Mbeya,Rungwe,Bulyaga,-9.25816,33.64523,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,25/02/2005,2,,Yes,Yes,Yes,,VISA, 
Mbeya,Mbeya Urban,Iyela,-8.91283,33.47026,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,15/10/2010,1,,Yes,,,,VISA, 
Mbeya,Mbeya Urban,Sisimba,-8.89279,33.44715,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,14/01/2006,3,,Yes,Yes,Yes,,VISA, 
Iringa,Njombe,Makambako,-8.84414,34.82328,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,14/09/2007,2,,Yes,Yes,Yes,,VISA, 
Rukwa,Sumbawanga Urban,Katandala,-7.96304,31.61345,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,23/08/2007,2,,Yes,,Yes,,VISA, 
Dar es Salaam,Temeke,Mbagala,-6.91441,39.2701,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,14/07/2003,4,,Yes,,,,VISA, 
Dar es Salaam,Ilala,Ukonga,-6.8708,39.19023,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,11/09/2010,1,,Yes,,Yes,,Both, 
Dar es Salaam,Ilala,Ukonga,-6.86627,39.2072,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,04/05/2002,1,,Yes,,Yes,,Both, 
Dar es Salaam,Temeke,Chang'ombe,-6.85138,39.27137,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,10/10/2005,4,,Yes,,Yes,,Both, 
Dar es Salaam,Ilala,Segerea,-6.84676,39.18742,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,11/11/2013,1,,Yes,,,,VISA, 
Dar es Salaam,Temeke,Chang'ombe,-6.84153,39.24997,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,16/01/2008,2,,Yes,,,,Both, 
Dar es Salaam,Ilala,Buguruni,-6.83808,39.24357,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,01/12/2000,1,,Yes,Yes,Yes,,VISA, 
Dar es Salaam,Ilala,Ilala,-6.82654,39.2632,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,11/07/2010,1,,Yes,,,,Mastercard, 
Dar es Salaam,Ilala,Kariakoo,-6.82546,39.27476,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,11/12/2011,1,,Yes,,,,Mastercard, 
Dar es Salaam,Ilala,Kisutu,-6.82136,39.28134,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,17/04/2007,1,,Yes,,,,Mastercard, 
Dar es Salaam,Ilala,Kisutu,-6.8209,39.28135,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,15/04/2000,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kisutu,-6.82034,39.28524,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,03/01/2006,1,,Yes,Yes,Yes,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.81694,39.27414,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,03/10/2012,1,,Yes,,,,Mastercard, 
Dar es Salaam,Ilala,Kariakoo,-6.81355,39.27478,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,12/12/2009,1,,Yes,,,,Mastercard, 
Dar es Salaam,Ilala,Upanga East,-6.80611,39.27373,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,13/04/2001,1,,Yes,Yes,Yes,,Both, 
Dar es Salaam,Kinondoni,Ubungo,-6.7937,39.21256,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,03/10/2005,2,,Yes,,,,VISA, 
Dar es Salaam,Kinondoni,Mwananyamala,-6.79051,39.26349,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,03/02/2013,1,,Yes,,,,VISA, 
Dar es Salaam,Kinondoni,Kijitonyama,-6.77418,39.23384,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,10/04/2012,1,,Yes,,,,VISA, 
Dodoma,Dodoma Urban,Viwandani,-6.17563,35.74718,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,13/09/2002,2,Yes,Yes,Yes,Yes,,Mastercard, 
Zanzibar,Zanzibar,Welezo,-6.16168,39.18784,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,29/05/2010,2,,Yes,,,,Both, 
Tanga,Tanga,Central,-5.07133,39.1015,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,02/05/2007,3,,Yes,,Yes,,Mastercard, 
Tabora,Tabora Urban,Kanyenye,-5.01978,32.80462,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,15/10/2003,3,Yes,Yes,Yes,Yes,,Both, 
Singida,Singida Urban,Ipembe,-4.81526,34.74978,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,25/04/2010,3,,Yes,,,,Both, 
Manyara,Babati,Babati,-4.21318,35.74899,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,14/09/2008,2,,Yes,,,,Both, 
Shinyanga,Kahama,Kahama Mjini,-3.82997,32.60459,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,14/12/2013,2,,Yes,Yes,,,Both, 
Shinyanga,Shinyanga Urban,Shinyanga Mjini,-3.67295,33.42684,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,22/11/2013,4,,Yes,Yes,,,Both, 
Arusha,Arusha,Kati,-3.36623,36.68439,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,06/12/2013,2,,Yes,,,,VISA, 
Kilimanjaro,Moshi Urban,Kilimanjaro,-3.349,37.34337,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,03/02/2000,4,,Yes,Yes,,,Both, 
Arusha,Karatu,Karatu,-3.33869,35.6722,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,20/01/2000,2,,Yes,,,,Both, 
Mwanza,Geita,Kalangala,-2.8733,32.22862,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,01/01/2001,2,Yes,,,,,Both, 
Mwanza,Ilemela,Igoma,-2.54371,32.97711,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,01/01/2009,4,Yes,,,,,Both, 
Mwanza,Nyamagana,Nyamagana,-2.51865,32.90223,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,15/01/2005,3,Yes,,,,,Both, 
Mara,Musoma Urban,Nyasho,-1.50713,33.80636,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,18/02/2011,1,,Yes,,,,Both, 
Mara,Tarime,Sirari,-1.24739,34.4753,On-site,Commercial Bank ATM,NBC Bank Limited,NBC,15/01/2011,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.82689,39.27,On-site,UMOJA SWITCH ATM,NIC Bank (Tanzania) Limited,NIC,20/01/2011,1,Yes,Yes,,Yes,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.82175,39.27718,On-site,UMOJA SWITCH ATM,NIC Bank (Tanzania) Limited,NIC,10/12/2009,1,,Yes,,,,Both, 
Tabora,Tabora Urban,Kanyenye,-5.01963,32.80486,On-site,Commercial Bank ATM,NIC Bank (Tanzania) Limited,NIC,05/10/2002,3,Yes,Yes,Yes,Yes,,Both, 
Tabora,Nzega,Nzega Mjini,-4.21849,33.19482,On-site,Commercial Bank ATM,NIC Bank (Tanzania) Limited,NIC,02/05/2005,2,,Yes,Yes,Yes,,VISA, 
Kagera,Bukoba Urban,Birere,-1.33123,31.81301,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,10/06/1982,2,,Yes,,,,Mastercard,NMB Bank Card
Kagera,Muleba,Izigo,-1.84502,31.64796,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,10/02/2003,1,,Yes,,,,Both,NMB Bank Card
Kagera,Muleba,Muleba,-1.84131,31.65216,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,26/02/1982,1,Yes,Yes,,,,Both,NMB Bank Card
Kagera,Bukoba Rural,Katoma,-1.25357,31.41986,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,04/01/2012,2,,Yes,,,,Both,NMB Bank Card
Kagera,Karagwe,Kayanga,-1.53612,31.15426,On-site,Commercial Bank ATM,National Microfinance Bank Plc,NMB,17/03/1997,2,Yes,,,,,Both,NMB Bank Card
Dar es Salaam,Ilala,Kariakoo,-6.81895,39.27557,On-site,Community Bank ATM,Peoples' Bank of Zanzibar Limited,Peoples' of Zanzibar,06/12/2013,1,,Yes,,,,Both, 
Dar es Salaam,Temeke,Chang'ombe,-6.83513,39.26395,On-site,Commercial Bank ATM,Stanbic Bank (Tanzania) Limited,Stanbic,20/06/2010,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.82023,39.27654,On-site,Commercial Bank ATM,Stanbic Bank (Tanzania) Limited,Stanbic,06/12/2013,1,,Yes,,,,Mastercard, 
Dar es Salaam,Ilala,Kariakoo,-6.81947,39.27531,On-site,Commercial Bank ATM,Stanbic Bank (Tanzania) Limited,Stanbic,06/12/2013,1,,Yes,,,,VISA, 
Dar es Salaam,Ilala,Kivukoni,-6.81241,39.291,On-site,Commercial Bank ATM,Stanbic Bank (Tanzania) Limited,Stanbic,01/01/2012,1,,Yes,,,,Both, 
