region,district,ward,latitude,longitude,agent_name,standalone_agent,other_activities,trading_hours,provider_selcom,selcom_deposits_per_week,selcom_withdrawls_per_week,selcom_num_tills,selcom_training,selcom_training_type,selcom_tariff_guide,selcom_guidance_service_use,provider_maxmalipo,maxmalipo_deposits_per_week,maxmalipo_withdrawls_per_week,maxmalipo_num_tills,maxmalipo_training,maxmalipo_training_type,maxmalipo_tariff_guide,maxmalipo_guidance_service_use,provider_buttonpay,buttonpay_deposits_per_week,buttonpay_withdrawls_per_week,buttonpay_num_tills,buttonpay_training,buttonpay_training_type,buttonpay_tariff_guide,buttonpay_guidance_service_use,bank_local_services,ShoppingCentres_local_services,GeneralDealer_local_services,Caf__local_services,Salon_local_services,Pharmacy_local_services,Bar_local_services,Trader_local_services,ElectronicShop_local_services,BureaudeExchange_local_services,Hotel_local_services,CellularShop_local_services,GroceryStore_local_services,Restaurant_local_services,Other_local_services,Other_local_services_detail,services_utility_payments,services_tax_payments,services_MMT_transfer,services_airtime_purchase,Other than those listed above are there any other services provided?,Please indicate,branding_but__service,Please select,branding_but_no_service_MaxMalipo,branding_but_no_service_Selcom,branding_but_no_service_ButtonPay,branding_but_no_service_other,branding_but_no_service_other_detail
Dar es Salaam,Ilala,Kitunda,-6.89927,39.17873,Josephat Gigabeth Machuba,Conduct other business,Duka,12 hours,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Duka,Yes,Yes,Yes,Yes,,,,,,,,,
Shinyanga,Kahama,Kahama Mjini,-3.82482,32.6019,Josephina Shop,Conduct other business,Duka,12 hours,,,,,,,,,Yes,3,5,1,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Mwananyamala,-6.78622,39.25142,Joshua Daudi,Conduct other business,Duka,12 hours,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Duka,,Yes,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Manzese,-6.8001,39.23409,Hamis Mtwa Shop,Stand Alone Agent,,12 hours,Yes,0,0,0,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Kimara,-6.78392,39.1708,Joshua Kisanga,Conduct other business,Duka,12 hours,,,,,,,,,Yes,10,10,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,
Dar es Salaam,Temeke,Yombo Vituka,-6.86277,39.23086,Hamis Said Hamis,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Duka,Yes,Yes,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Mbagala,-6.903,39.29702,Joshua Myambo,Conduct other business,Duka,12 hours,,,,,,,,,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,No,,,,Yes,Yes,Yes,Yes,,Yes,,,,,,Yes,Hardware Shop,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Tandale,-6.7879,39.24761,Hamis Shop,Stand Alone Agent,,12 hours,Yes,28,20,1,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,Yes,No,No,
Mtwara,Mtwara Urban,Chikongola,-10.28786,40.19191,Hamis Shop,Stand Alone Agent,,12 hours,,,,,,,,,,,,,,,,,Yes,45,40,1,Yes,Formal classroom training,Yes,Yes,,,,,,Yes,,,,,,,,Yes,,,Yes,,Yes,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Mabibo,-6.80959,39.22262,Hamis Shop,Stand Alone Agent,,12 hours,Yes,0,0,0,Yes,Formal classroom training,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Hardware Shop,Yes,,Yes,,,,,,,,,,
Dar es Salaam,Kinondoni,Mwananyamala,-6.78799,39.24771,Hamis Sulila,Stand Alone Agent,,12 hours,Yes,20,20,1,Yes,Formal classroom training,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,Yes,No,No,
Tabora,Tabora Urban,Ipuli,-5.01656,32.83776,Hamis Yasin,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Duka,Yes,Yes,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Kawe,-6.76405,39.22863,Joshua Shop,Conduct other business,Duka,12 hours,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,Yes,,,,,,,,,
Kilimanjaro,Moshi Urban,Kiboriloni,-3.33615,37.3623,Hamisa,Stand Alone Agent,,12 hours,,,,,,,,,,,,,,,,,Yes,12,18,1,Yes,Training from other rep,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,Yes,,Yes,Yes,,,,,,,,,
Dar es Salaam,Ilala,Kinyerezi,-6.84438,39.1623,Hamisa Ally,Stand Alone Agent,,12 hours,Yes,0,0,1,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Cosmetics Shop,Yes,Yes,Yes,Yes,,,,,,,,,
Dar es Salaam,Temeke,Tandika,-6.86688,39.26181,Hamisa Mohammed,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,
Dar es Salaam,Temeke,Mbagala,-6.91487,39.26975,Joshua Shop,Conduct other business,Duka,12 hours,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Mbagala,-6.89533,39.26831,Josiah Cherehan,Conduct other business,Duka,12 hours,Yes,0,0,1,Yes,Training from other rep,No,No,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,Yes,Butcher,Yes,Yes,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Sandali,-6.86187,39.24586,Hamisi Kiberiti,Stand Alone Agent,,10 hours,Yes,0,0,1,Yes,Formal classroom training,Yes,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes,,,Yes,Yes,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Kimara,-6.79034,39.19437,Jovita Wakolonane,Conduct other business,Duka,12 hours,Yes,3,5,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,Yes,Yes,,,,,,,,,,
Dar es Salaam,Ilala,Segerea,-6.83893,39.19416,Joyce,Conduct other business,Duka,12 hours,Yes,0,0,1,Yes,Training from other rep,Yes,Yes,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,BodaBoda Park,Yes,,,Yes,,,,,,,,,
Morogoro,Morogoro Urban,Kingolwira,-6.80185,37.69217,Joyce Emmanuel,Conduct other business,Duka,12 hours,,,,,,,,,Yes,0,4,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Wholesale,Yes,,Yes,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Mbezi,-6.77551,39.08863,Hamza Jaha Shop,Stand Alone Agent,,12 hours,,,,,,,,,Yes,25,25,1,No,,No,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,,,,,,,,
Dar es Salaam,Ilala,Pugu,-6.89752,39.12677,Joyce Misalaba,Conduct other business,Duka,12 hours,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,,
Mara,Rorya,Bukama,-1.46092,33.85885,Joyce Mkama Lugila,Conduct other business,Duka,12 hours,Yes,12,13,1,Yes,Formal classroom training,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,Yes,Yes,,Yes,,,,,,,,,
Kigoma,Kigoma Urban,Kigoma town,-4.88226,29.6322,Hamza Mrisho Rubibi,Stand Alone Agent,,10 hours,,,,,,,,,,,,,,,,,Yes,35,0,0,Yes,Training from other rep,No,Yes,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,
Dar es Salaam,Kinondoni,Kigogo,-6.82541,39.23439,Hamza Msham,Stand Alone Agent,,12 hours,Yes,35,35,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,Yes,Yes,,,,,,,,,
Dar es Salaam,Temeke,Chamazi,-6.95049,39.22793,Hamzat Mohamed,Stand Alone Agent,,12 hours,Yes,0,0,0,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,
Arusha,Arusha,Kati,-3.37332,36.69195,Hans Shop,Stand Alone Agent,,12 hours,,,,,,,,,Yes,30,0,1,Yes,Formal classroom training,Yes,Yes,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,
Arusha,Arusha,Kimandolu,-3.36836,36.72103,Joyce Shop,Conduct other business,Duka,12 hours,,,,,,,,,,,,,,,,,Yes,10,0,0,Yes,Training from other rep,No,Yes,,,,,,,,,,,Yes,,,,,,Yes,Yes,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Sinza,-6.77792,39.22441,Jp Partners,Conduct other business,Duka,12 hours,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,Yes,,,,,,,,,
Pwani,Bagamoyo,Dunda,-6.44914,38.89955,Jua Kali Shop,Conduct other business,Duka,12 hours,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,Yes,Yes,,,Yes,Yes,,Yes,,,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.02472,32.81176,Judith,Conduct other business,Duka,12 hours,,,,,,,,,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,No,,,,Yes,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Ukonga,-6.88807,39.1691,Happiness Simba,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,0,1,Yes,Formal classroom training,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Duka,Yes,Yes,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Vingunguti,-6.847,39.22366,Happiness Simon,Stand Alone Agent,,12 hours,,,,,,,,,,,,,,,,,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Kimara,-6.78655,39.167,Happness Pela Shop,Stand Alone Agent,,12 hours,Yes,0,0,0,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
Dar es Salaam,Ilala,Buguruni,-6.83046,39.25206,Judith Elias Kamage,Conduct other business,Duka,12 hours,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Segerea,-6.83565,39.21498,Happy,Stand Alone Agent,,10 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,Yes,Yes,Yes,0,0,1,Yes,Training from other rep,Yes,Yes,,,,,,,Yes,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Kijitonyama,-6.77448,39.2332,Juliana Shop,Conduct other business,Duka,12 hours,,,,,,,,,,,,,,,,,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,Yes,,,,,,,Yes,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Tabata,-6.84519,39.1727,Happy,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,No,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Welding Point,Yes,Yes,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Mbagala,-6.91445,39.28017,Julieth Gibson,Conduct other business,Duka,12 hours,Yes,15,10,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,Yes,Hardware Shop,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Kariakoo,-6.82096,39.27971,Julieth Martin Minja,Conduct other business,Duka,10 hours,Yes,0,0,1,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Kigoma,Kigoma Urban,Msimba,-4.84326,29.68055,Julieti Bhukoke Shop,Conduct other business,Duka,12 hours,,,,,,,,,Yes,78,0,0,Yes,Training from other rep,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Ubungo,-6.79186,39.20887,Julio Shop,Conduct other business,Duka,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,
Dar es Salaam,Ilala,Buguruni,-6.83175,39.24635,Happy Mkalinga,Stand Alone Agent,,12 hours,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Auto Spares Shop,Yes,,,Yes,,,,,,,,,
Dodoma,Dodoma Urban,Chamwino,-6.16514,35.73542,Julius John,Conduct other business,Duka,12 hours,,,,,,,,,Yes,6,5,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,
Mbeya,Mbeya Urban,Ruanda,-8.90948,33.46806,Julius Senga,Conduct other business,Duka,12 hours,,,,,,,,,Yes,6,16,0,Yes,Training from other rep,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,
Tabora,Tabora Urban,Isevya,-5.01657,32.82488,Happy Shop,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,No,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,
Iringa,Njombe,Makambako,-8.84616,34.82482,Julius Zebedayo,Conduct other business,Duka,12 hours,Yes,0,0,0,Yes,Training from other rep,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Duka,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Tabata,-6.84376,39.17147,Juma,Conduct other business,Duka,12 hours,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Butcher,Yes,Yes,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Mbagala,-6.90634,39.25089,Juma Abdalah,Conduct other business,Duka,12 hours,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,Yes,Tailoring Shop,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Mbagala,-6.9048,39.28634,Juma Aziz,Conduct other business,Duka,12 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Butcher,Yes,,,Yes,,,,,,,,,
Arusha,Arusha,Engutoto,-3.42378,36.70535,Happyness Urio,Stand Alone Agent,,12 hours,,,,,,,,,Yes,10,10,1,No,,No,Yes,,,,,,,,,,,,Yes,Yes,,,,,,,,,,Yes,Petrol Station,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Mbagala,-6.92482,39.27177,Happyphania Mchau,Stand Alone Agent,,12 hours,,,,,,,,,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Hardware Shop,Yes,,,Yes,,,Yes,,Yes,No,No,No,
Mara,Bunda,Nyamuswa,-2.48205,32.90743,Juma Nne Shop,Conduct other business,Duka,12 hours,,,,,,,,,Yes,1,1,1,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,Duka,Yes,,Yes,Yes,,,,,,,,,
Dar es Salaam,Temeke,Mbagala,-6.89348,39.26564,Juma Sadij,Conduct other business,Duka,12 hours,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Market,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Mbagala,-6.90539,39.26951,Juma Saidi,Conduct other business,Duka,12 hours,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,Yes,,,,,,Yes,Butcher,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Kijitonyama,-6.78051,39.23519,Juma Shaban Shop,Conduct other business,Duka,12 hours,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Ubungo,-6.79238,39.2134,Juma Shop,Conduct other business,Duka,12 hours,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Tanga,Tanga,Ngamiani Kati,-5.07953,39.106,Juma Shop,Conduct other business,Duka,12 hours,,,,,,,,,Yes,3,8,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,Yes,,,,,Yes,,,Yes,,,,,,,,,
Morogoro,Morogoro Urban,Boma,-6.8284,37.66466,Haroun Mbegu,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,0,1,No,,No,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Kigoma,Kasulu,Kigondo,-4.57267,30.10995,Haroun Shop,Stand Alone Agent,,12 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,
Dodoma,Dodoma Urban,Tambukareli,-6.18065,35.75541,Jumanne Egera,Conduct other business,Duka,12 hours,,,,,,,,,Yes,10,9,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,
Tabora,Tabora Urban,Tambukareli,-5.00615,32.8108,Jumanne Shop,Conduct other business,Duka,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,No,,,,,,,,,,,,,,,,,,,,,,,Yes,Duka,Yes,Yes,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Kawe,-6.76593,39.21672,Jumbis Shop,Conduct other business,Duka,12 hours,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,
Dar es Salaam,Temeke,Mbagala,-6.89642,39.26793,Haruna Mwakipesile,Stand Alone Agent,,24 hours,Yes,0,0,1,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Butcher,Yes,,,Yes,,,,,,,,,
Kilimanjaro,Moshi Urban,Kiboriloni,-3.33582,37.36384,Just Tarimo,Conduct other business,Duka,12 hours,Yes,18,14,1,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,Yes,,Yes,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Mabibo,-6.81015,39.2223,K D Shop,Conduct other business,Duka,12 hours,Yes,0,0,0,Yes,Formal classroom training,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Tandale,-6.79144,39.24282,Hasan,Stand Alone Agent,,12 hours,Yes,12,8,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,
Dar es Salaam,Kinondoni,Magomeni,-6.80952,39.26079,Hasan Bluno,Stand Alone Agent,,12 hours,Yes,10,30,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,Yes,,,,Yes,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Mtoni,-6.87316,39.26619,Hasan Mwakanjila,Stand Alone Agent,,12 hours,Yes,0,0,0,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Tandale,-6.79127,39.24296,Hasan Ramadhan,Stand Alone Agent,,12 hours,Yes,12,23,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,Boutique,,,,Yes,,,,,,,,,
Tabora,Urambo,Urambo,-5.06766,32.06974,Hasan Shop,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,No,,,,,,,,,,,,,,,,,,,,,,,Yes,Butcher,Yes,,,Yes,,,,,,,,,
Singida,Manyoni,Itigi,-5.69903,34.49681,Hasani Salumu Hasani,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,0,0,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,Yes,,Yes,,,,Yes,,Yes,,Yes,Hospital,Yes,Yes,Yes,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Mabibo,-6.80294,39.21757,K Shop,Conduct other business,Duka,12 hours,,,,,,,,,Yes,0,0,0,Yes,Formal classroom training,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Duka,Yes,,Yes,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Kawe,-6.73751,39.227,Kabi Shop,Conduct other business,Duka,12 hours,Yes,25,28,1,Yes,Formal classroom training,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Manzese,-6.80235,39.22952,Kadadaa Shop,Conduct other business,Duka,12 hours,Yes,0,0,0,Yes,Formal classroom training,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Movie Cinema,Yes,,Yes,Yes,,,,,,,,,
Dar es Salaam,Ilala,Ukonga,-6.86904,39.16103,Hashim,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Mwananyamala,-6.79205,39.25798,Kagaruki Shop,Conduct other business,Duka,12 hours,,,,,,,,,Yes,0,0,1,Yes,Formal classroom training,No,No,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Manzese,-6.79735,39.23359,Hashim Abdalah,Stand Alone Agent,,12 hours,Yes,5,10,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,
Morogoro,Morogoro Urban,Kihonda,-6.7623,37.65477,Kaheze Shop,Conduct other business,Duka,12 hours,Yes,0,0,1,No,,No,No,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,Duka,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Buguruni,-6.83971,39.23894,Kajun Kaijage,Conduct other business,Duka,12 hours,,,,,,,,,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Duka,Yes,Yes,Yes,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Kawe,-6.77119,39.18941,Kalikawe Shop,Conduct other business,Duka,12 hours,Yes,0,0,1,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,
Tanga,Handeni,Segera,-5.33728,38.54739,Kamewiva Shop,Conduct other business,Duka,12 hours,,,,,,,,,Yes,0,0,0,Yes,Formal classroom training,Yes,No,,,,,,,,,,,,,,Yes,,,Yes,,Yes,,Yes,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Kimara,-6.80618,39.17764,Kampendeza Shop,Conduct other business,Duka,12 hours,,,,,,,,,Yes,5,45,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,Yes,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Mbagala,-6.90426,39.26271,Hashimu Seleman,Stand Alone Agent,,12 hours,,,,,,,,,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Lodge,Yes,,,Yes,,,,,,,,,
Kilimanjaro,Mwanga,Kirongwe,-3.70763,37.6687,Kampiso Hardware,Conduct other business,Duka,12 hours,,,,,,,,,,,,,,,,,Yes,0,0,0,Yes,Training from other rep,No,Yes,,,,,,,Yes,Yes,,,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Kijitonyama,-6.78747,39.2416,Kandoro Shop,Conduct other business,Duka,12 hours,,,,,,,,,Yes,0,0,1,Yes,Formal classroom training,No,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Goba,-6.74115,39.16069,Kaombwe Shop,Conduct other business,Duka,12 hours,Yes,0,0,1,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Kawe,-6.76352,39.22742,Kapemba Shop,Conduct other business,Duka,12 hours,Yes,0,0,1,Yes,Training from other rep,Yes,No,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Shinyanga,Bariadi,Bariadi,-2.80325,33.98557,Kapesa Kazi,Conduct other business,Duka,12 hours,,,,,,,,,,,,,,,,,Yes,0,0,0,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Tandika,-6.87325,39.26266,Hassan Hassan,Stand Alone Agent,,12 hours,,,,,,,,,Yes,0,0,1,Yes,Formal classroom training,No,No,,,,,,,,,,,,,Yes,,Yes,,,,,,,,Yes,Duka,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Ukonga,-6.87729,39.16964,Karagosi,Conduct other business,Duka,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,
