region,district,ward,latitude,longitude,bank_type,bank_name,weekend_trading,yr_started,yr_started_reformatted
Mwanza,Nyamagana,Nyamagana,-2.5219,32.89983,Commercial Bank,CRDB Bank Plc,Yes,13/02/09,2009-2-01
Kagera,Bukoba Urban,Mimbeni,-1.33036,31.81213,Commercial Bank,CRDB Bank Plc,No,09/10/07,2007-10-01
Mbeya,Mbeya Urban,Maanga,-8.91114,33.45785,Commercial Bank,CRDB Bank Plc,Yes,08/02/11,2011-2-01
Mbeya,Mbeya Urban,Sisimba,-8.89218,33.44552,Commercial Bank,CRDB Bank Plc,Yes,18/04/90,1990-4-01
Mtwara,Masasi,Masasi,-10.7309,38.80265,Commercial Bank,CRDB Bank Plc,Yes,06/12/10,2010-12-01
Mtwara,Mtwara Urban,Shangani,-10.27069,40.18555,Commercial Bank,CRDB Bank Plc,Yes,06/08/94,1994-8-01
Kagera,Bukoba Urban,Bakoba,-1.3298,31.81031,Commercial Bank,CRDB Bank Plc,Yes,12/07/74,1974-7-01
Mwanza,Nyamagana,Nyamagana,-2.52152,32.89962,Commercial Bank,CRDB Bank Plc,Yes,13/02/01,2001-2-01
Mwanza,Nyamagana,Nyamagana,-2.51825,32.89852,Commercial Bank,CRDB Bank Plc,Yes,05/02/99,1999-2-01
Mwanza,Ilemela,Ilemela,-2.5104,32.90273,Commercial Bank,CRDB Bank Plc,Yes,11/02/10,2010-2-01
Mwanza,Ilemela,Kirumba,-2.50621,32.89499,Commercial Bank,CRDB Bank Plc,Yes,09/02/93,1993-2-01
Zanzibar,Zanzibar,Mbuzini,-6.16354,39.19121,Commercial Bank,CRDB Bank Plc,No,10/08/09,2009-8-01
Dar es Salaam,Ilala,Chanika,-6.99604,39.08481,Commercial Bank,DCB Commercial Bank Plc,Yes,01/08/12,2012-8-01
Dar es Salaam,Temeke,Mtoni,-6.88484,39.28057,Commercial Bank,DCB Commercial Bank Plc,Yes,01/12/13,2013-12-01
Dar es Salaam,Ilala,Ukonga,-6.8733,39.18834,Commercial Bank,DCB Commercial Bank Plc,Yes,27/11/12,2012-11-01
Dar es Salaam,Temeke,Miburani,-6.85721,39.26352,Commercial Bank,DCB Commercial Bank Plc,Yes,11/04/09,2009-4-01
Dar es Salaam,Ilala,Segerea,-6.84451,39.19833,Commercial Bank,DCB Commercial Bank Plc,Yes,25/10/13,2013-10-01
Mtwara,Masasi,Masasi,-10.7309,38.80258,Commercial Bank,DCB Commercial Bank Plc,Yes,26/10/10,2010-10-01
Dar es Salaam,Temeke,Mbagala,-6.90856,39.26969,Commercial Bank,Diamond Trust Bank (Tanzania) Limited,Yes,26/05/11,2011-5-01
Dar es Salaam,Temeke,Chang'ombe,-6.83497,39.26456,Commercial Bank,Diamond Trust Bank (Tanzania) Limited,No,27/03/11,2011-3-01
Dar es Salaam,Ilala,Kisutu,-6.82032,39.28272,Commercial Bank,Diamond Trust Bank (Tanzania) Limited,Yes,03/01/10,2010-1-01
Dar es Salaam,Ilala,Kariakoo,-6.81543,39.27487,Commercial Bank,Diamond Trust Bank (Tanzania) Limited,Yes,19/12/13,2013-12-01
Dar es Salaam,Kinondoni,Magomeni,-6.80829,39.2597,Commercial Bank,Diamond Trust Bank (Tanzania) Limited,No,29/05/09,2009-5-01
Dar es Salaam,Kinondoni,Mbezi,-6.7254,39.21417,Commercial Bank,Diamond Trust Bank (Tanzania) Limited,Yes,06/10/13,2013-10-01
Morogoro,Morogoro Urban,Boma,-6.82638,37.66445,Commercial Bank,Diamond Trust Bank (Tanzania) Limited,No,01/11/11,2011-11-01
Tabora,Tabora Urban,Mbugani,-5.01868,32.80287,Commercial Bank,Diamond Trust Bank (Tanzania) Limited,Yes,19/11/13,2013-11-01
Dodoma,Dodoma Urban,Madukani,-6.18045,35.74616,Commercial Bank,Diamond Trust Bank (Tanzania) Limited,Yes,31/01/10,2010-1-01
Arusha,Arusha,Kati,-3.37366,36.68908,Commercial Bank,Diamond Trust Bank (Tanzania) Limited,Yes,20/10/10,2010-10-01
Arusha,Arusha,Sekei,-3.3639,36.70337,Commercial Bank,Diamond Trust Bank (Tanzania) Limited,Yes,07/01/12,2012-1-01
Mbeya,Mbeya Urban,Sisimba,-8.89387,33.4418,Commercial Bank,Diamond Trust Bank (Tanzania) Limited,Yes,23/11/11,2011-11-01
Tanga,Tanga,Ngamiani Kaskazini,-5.07642,39.0988,Commercial Bank,Diamond Trust Bank (Tanzania) Limited,Yes,31/01/10,2010-1-01
Mwanza,Nyamagana,Nyamagana,-2.52023,32.89944,Commercial Bank,Diamond Trust Bank (Tanzania) Limited,No,13/02/10,2010-2-01
Zanzibar,Zanzibar,Kama,-6.1617,39.189,Commercial Bank,Diamond Trust Bank (Tanzania) Limited,No,01/06/11,2011-6-01
Dar es Salaam,Kinondoni,Mbezi,-6.82141,39.27296,Commercial Bank,Ecobank (Tanzania) Limited,Yes,05/10/12,2012-10-01
Dar es Salaam,Ilala,Kisutu,-6.82133,39.28231,Commercial Bank,Ecobank (Tanzania) Limited,Yes,12/11/12,2012-11-01
Dar es Salaam,Ilala,Kariakoo,-6.82079,39.27326,Commercial Bank,Ecobank (Tanzania) Limited,Yes,16/12/13,2013-12-01
Dar es Salaam,Ilala,Kisutu,-6.81827,39.28999,Commercial Bank,Ecobank (Tanzania) Limited,Yes,10/01/12,2012-1-01
Dar es Salaam,Kinondoni,Kijitonyama,-6.76707,39.22833,Commercial Bank,Ecobank (Tanzania) Limited,Yes,11/09/11,2011-9-01
Mwanza,Nyamagana,Nyamagana,-2.51923,32.89835,Commercial Bank,Ecobank (Tanzania) Limited,Yes,07/01/13,2013-1-01
Dar es Salaam,Ilala,Kinyerezi,-6.84527,39.19507,Commercial Bank,Equity bank (Tanzania) Limited,Yes,01/10/13,2013-10-01
Dar es Salaam,Ilala,Kinyerezi,-6.84372,39.17056,Commercial Bank,Equity bank (Tanzania) Limited,Yes,11/03/14,2014-3-01
Dar es Salaam,Temeke,Chang'ombe,-6.8398,39.25513,Commercial Bank,Equity bank (Tanzania) Limited,No,18/03/11,2011-3-01
Dar es Salaam,Ilala,Kariakoo,-6.82199,39.2779,Commercial Bank,Equity bank (Tanzania) Limited,Yes,17/12/13,2013-12-01
Dar es Salaam,Ilala,Kisutu,-6.81544,39.28795,Commercial Bank,Equity bank (Tanzania) Limited,Yes,18/10/13,2013-10-01
Dar es Salaam,Ilala,Kivukoni,-6.81364,39.28949,Commercial Bank,Equity bank (Tanzania) Limited,Yes,31/10/12,2012-10-01
Dar es Salaam,Kinondoni,Makuburi,-6.81202,39.21531,Commercial Bank,Equity bank (Tanzania) Limited,Yes,04/01/14,2014-1-01
Dar es Salaam,Kinondoni,Kijitonyama,-6.76582,39.22838,Commercial Bank,Equity bank (Tanzania) Limited,Yes,03/01/14,2014-1-01
Arusha,Arusha,Ngarenaro,-3.37536,36.67828,Commercial Bank,Equity bank (Tanzania) Limited,Yes,01/01/12,2012-1-01
Arusha,Arusha,Kati,-3.37409,36.68606,Commercial Bank,Equity bank (Tanzania) Limited,Yes,07/11/11,2011-11-01
Arusha,Arusha,Kati,-3.37296,36.69272,Commercial Bank,Equity bank (Tanzania) Limited,Yes,02/11/11,2011-11-01
Mwanza,Nyamagana,Nyamagana,-2.51903,32.89938,Commercial Bank,Equity bank (Tanzania) Limited,Yes,20/12/12,2012-12-01
Manyara,Babati,Babati,-4.2136,35.74888,Commercial Bank,Exim Bank (Tanzania) Limited,Yes,10/12/12,2012-12-01
Kigoma,Kigoma Urban,Kigoma town,-4.88047,29.63105,Commercial Bank,Exim Bank (Tanzania) Limited,No,22/10/12,2012-10-01
Dar es Salaam,Temeke,Chang'ombe,-6.844,39.27271,Commercial Bank,Exim Bank (Tanzania) Limited,No,26/04/10,2010-4-01
Dar es Salaam,Temeke,Chang'ombe,-6.83678,39.25977,Commercial Bank,Exim Bank (Tanzania) Limited,No,17/08/12,2012-8-01
Dar es Salaam,Ilala,Buguruni,-6.83407,39.24709,Commercial Bank,Exim Bank (Tanzania) Limited,No,30/11/11,2011-11-01
Dar es Salaam,Ilala,Kisutu,-6.8208,39.28421,Commercial Bank,Exim Bank (Tanzania) Limited,Yes,01/05/09,2009-5-01
Dar es Salaam,Ilala,Kivukoni,-6.81455,39.29198,Commercial Bank,Exim Bank (Tanzania) Limited,Yes,16/12/98,1998-12-01
Dar es Salaam,Ilala,Kisutu,-6.81453,39.28745,Commercial Bank,Exim Bank (Tanzania) Limited,No,18/09/94,1994-9-01
Dar es Salaam,Ilala,Kariakoo,-6.81441,39.27666,Commercial Bank,Exim Bank (Tanzania) Limited,Yes,16/10/06,2006-10-01
Dar es Salaam,Ilala,Kivukoni,-6.81369,39.28822,Commercial Bank,Exim Bank (Tanzania) Limited,Yes,01/01/10,2010-1-01
Dar es Salaam,Kinondoni,Sinza,-6.7964,39.21957,Commercial Bank,Exim Bank (Tanzania) Limited,Yes,18/12/09,2009-12-01
Dar es Salaam,Kinondoni,Sinza,-6.77219,39.22047,Commercial Bank,Exim Bank (Tanzania) Limited,Yes,22/12/06,2006-12-01
Dar es Salaam,Kinondoni,Kawe,-6.76847,39.2174,Commercial Bank,Exim Bank (Tanzania) Limited,Yes,18/03/10,2010-3-01
Dar es Salaam,Kinondoni,Mikocheni,-6.76551,39.2592,Commercial Bank,Exim Bank (Tanzania) Limited,No,19/10/09,2009-10-01
Morogoro,Morogoro Urban,Sabasaba,-6.82625,37.66434,Commercial Bank,Exim Bank (Tanzania) Limited,Yes,20/02/10,2010-2-01
Shinyanga,Shinyanga Urban,Shinyanga Mjini,-3.67178,33.42954,Commercial Bank,Exim Bank (Tanzania) Limited,No,07/08/13,2013-8-01
Kilimanjaro,Moshi Urban,Kilimanjaro,-3.34818,37.34117,Commercial Bank,Exim Bank (Tanzania) Limited,Yes,03/07/99,1999-7-01
Kilimanjaro,Moshi Urban,Kilimanjaro,-3.34794,37.34457,Commercial Bank,Exim Bank (Tanzania) Limited,Yes,05/11/12,2012-11-01
Mtwara,Mtwara Urban,Shangani,-10.27054,40.18505,Commercial Bank,Exim Bank (Tanzania) Limited,Yes,06/11/04,2004-11-01
Mwanza,Nyamagana,Nyamagana,-2.52116,32.89945,Commercial Bank,Exim Bank (Tanzania) Limited,No,10/02/00,2000-2-01
Arusha,Arusha,Ngarenaro,-3.3781,36.70425,Commercial Bank,Exim Bank (Tanzania) Limited,Yes,21/11/12,2012-11-01
Arusha,Arusha,Kati,-3.37528,36.67869,Commercial Bank,Exim Bank (Tanzania) Limited,Yes,17/12/07,2007-12-01
Arusha,Arusha,Kati,-3.3731,36.69285,Commercial Bank,Exim Bank (Tanzania) Limited,Yes,14/11/09,2009-11-01
Arusha,Arusha,Kati,-3.37268,36.69283,Commercial Bank,Exim Bank (Tanzania) Limited,No,03/01/05,2005-1-01
Arusha,Karatu,Karatu,-3.33885,35.67967,Commercial Bank,Exim Bank (Tanzania) Limited,Yes,22/11/08,2008-11-01
Zanzibar,Zanzibar,Shakani,-6.1617,39.19903,Commercial Bank,Exim Bank (Tanzania) Limited,No,11/07/10,2010-7-01
Tanga,Tanga,Central,-5.07023,39.10534,Commercial Bank,Exim Bank (Tanzania) Limited,Yes,02/10/03,2003-10-01
Dar es Salaam,Ilala,Kisutu,-6.81654,39.28789,Commercial Bank,FBME Bank (Tanzania) Limited,Yes,01/09/10,2010-9-01
Dar es Salaam,Kinondoni,Kinondoni,-6.79077,39.27552,Commercial Bank,FBME Bank (Tanzania) Limited,No,09/02/13,2013-2-01
Mwanza,Nyamagana,Nyamagana,-2.51927,32.90011,Commercial Bank,FBME Bank (Tanzania) Limited,Yes,13/01/11,2011-1-01
Zanzibar,Zanzibar,Welezo,-6.1654,39.19442,Commercial Bank,FBME Bank (Tanzania) Limited,No,06/05/11,2011-5-01
Arusha,Arusha,Levolosi,-3.37535,36.70036,Commercial Bank,FBME Bank (Tanzania) Limited,Yes,01/05/09,2009-5-01
Manyara,Kiteto,Kibaya,-5.31378,36.5628,Commercial Bank,FINCA Tanzania Ltd,Yes,11/07/12,2012-7-01
Dar es Salaam,Temeke,Chang'ombe,-6.83972,39.25554,Commercial Bank,First National Bank (Tanzania) Limited,No,27/10/11,2011-10-01
Dar es Salaam,Ilala,Ilala,-6.82593,39.26821,Commercial Bank,First National Bank (Tanzania) Limited,Yes,19/12/11,2011-12-01
Dar es Salaam,Ilala,Kivukoni,-6.81151,39.2877,Commercial Bank,First National Bank (Tanzania) Limited,Yes,01/02/13,2013-2-01
Dar es Salaam,Ilala,Kariakoo,-6.82206,39.27847,Commercial Bank,Habib African Bank Limited,Yes,17/12/13,2013-12-01
Dar es Salaam,Ilala,Kisutu,-6.81731,39.28567,Commercial Bank,Habib African Bank Limited,Yes,06/01/05,2005-1-01
Dar es Salaam,Temeke,Chang'ombe,-6.83961,39.25571,Commercial Bank,I & M Bank (Tanzania) Limited,Yes,07/11/12,2012-11-01
Dar es Salaam,Ilala,Kisutu,-6.81946,39.28354,Commercial Bank,I & M Bank (Tanzania) Limited,Yes,04/02/10,2010-2-01
Dar es Salaam,Ilala,Kariakoo,-6.81586,39.27638,Commercial Bank,I & M Bank (Tanzania) Limited,Yes,15/10/11,2011-10-01
Dar es Salaam,Ilala,Kisutu,-6.81253,39.28595,Commercial Bank,I & M Bank (Tanzania) Limited,Yes,16/01/13,2013-1-01
Mwanza,Ilemela,Ilemela,-2.50981,32.90316,Commercial Bank,I & M Bank (Tanzania) Limited,Yes,16/01/11,2011-1-01
Arusha,Arusha,Levolosi,-3.37502,36.68875,Commercial Bank,I & M Bank (Tanzania) Limited,Yes,14/12/10,2010-12-01
Arusha,Arusha,Kati,-3.37495,36.68884,Commercial Bank,I & M Bank (Tanzania) Limited,Yes,27/11/10,2010-11-01
Dar es Salaam,Ilala,Kariakoo,-6.8176,39.27839,Commercial Bank,International Commercial Bank (Tanzania) Limited,Yes,18/12/13,2013-12-01
Dar es Salaam,Ilala,Kisutu,-6.81728,39.28277,Commercial Bank,International Commercial Bank (Tanzania) Limited,Yes,06/01/10,2010-1-01
Dar es Salaam,Ilala,Upanga East,-6.8135,39.27872,Commercial Bank,International Commercial Bank (Tanzania) Limited,Yes,06/02/05,2005-2-01
Dar es Salaam,Kinondoni,Ubungo,-6.79645,39.21978,Commercial Bank,International Commercial Bank (Tanzania) Limited,No,01/05/02,2002-5-01
Dar es Salaam,Ilala,Buguruni,-6.83751,39.24277,Commercial Bank,KCB Bank (Tanzania) Limited,Yes,21/08/11,2011-8-01
Dar es Salaam,Ilala,Kariakoo,-6.82174,39.27862,Commercial Bank,KCB Bank (Tanzania) Limited,Yes,08/07/07,2007-7-01
Dar es Salaam,Ilala,Kariakoo,-6.82141,39.27295,Commercial Bank,KCB Bank (Tanzania) Limited,Yes,28/05/05,2005-5-01
Dar es Salaam,Ilala,Kisutu,-6.81897,39.27906,Commercial Bank,KCB Bank (Tanzania) Limited,Yes,09/01/10,2010-1-01
Dar es Salaam,Ilala,Kivukoni,-6.81556,39.29074,Commercial Bank,KCB Bank (Tanzania) Limited,Yes,05/01/03,2003-1-01
Dar es Salaam,Kinondoni,Sinza,-6.77334,39.21964,Commercial Bank,KCB Bank (Tanzania) Limited,Yes,16/11/06,2006-11-01
Morogoro,Morogoro Urban,Boma,-6.82987,37.66483,Commercial Bank,KCB Bank (Tanzania) Limited,No,01/02/09,2009-2-01
Mwanza,Nyamagana,Nyamagana,-2.51854,32.89859,Commercial Bank,KCB Bank (Tanzania) Limited,Yes,07/02/00,2000-2-01
Arusha,Arusha,Kati,-3.37191,36.69363,Commercial Bank,KCB Bank (Tanzania) Limited,Yes,21/07/11,2011-7-01
Zanzibar,Zanzibar,Mwakaje,-6.15717,39.19412,Commercial Bank,KCB Bank (Tanzania) Limited,No,28/07/11,2011-7-01
Dar es Salaam,Kinondoni,Kawe,-6.81669,39.29154,Commercial Bank,Maendeleo Bank,Yes,25/01/14,2014-1-01
Dar es Salaam,Ilala,Kariakoo,-6.82352,39.27252,Commercial Bank,Mkombozi Commercial Bank Plc,Yes,01/05/10,2010-5-01
Dar es Salaam,Ilala,Ilala,-6.8233,39.2591,Commercial Bank,Mkombozi Commercial Bank Plc,Yes,02/01/13,2013-1-01
Dar es Salaam,Ilala,Kisutu,-6.81831,39.2885,Commercial Bank,Mkombozi Commercial Bank Plc,Yes,01/01/10,2010-1-01
Mwanza,Nyamagana,Nyamagana,-2.51827,32.89998,Commercial Bank,Mkombozi Commercial Bank Plc,No,01/01/12,2012-1-01
Manyara,Kiteto,Kibaya,-5.31632,36.56732,Commercial Bank,National Microfinance Bank Plc,Yes,25/10/97,1997-10-01
Manyara,Hanang,Katesh,-4.52276,35.37691,Commercial Bank,National Microfinance Bank Plc,Yes,01/07/95,1995-7-01
Manyara,Simanjiro,Orkesumet,-4.46021,37.1977,Commercial Bank,National Microfinance Bank Plc,Yes,12/09/08,2008-9-01
Manyara,Babati,Babati,-4.21459,35.7479,Commercial Bank,National Microfinance Bank Plc,Yes,01/10/97,1997-10-01
Shinyanga,Shinyanga Urban,Shinyanga Mjini,-3.67093,33.42758,Commercial Bank,National Microfinance Bank Plc,No,17/11/97,1997-11-01
Manyara,Mbulu,Mbulu Mjini,-3.85642,35.54205,Commercial Bank,National Microfinance Bank Plc,Yes,01/10/97,1997-10-01
Iringa,Ludewa,Ludewa,-10.09685,34.68648,Commercial Bank,National Microfinance Bank Plc,Yes,18/05/90,1990-5-01
Iringa,Njombe,Njombe Mjini,-9.34669,34.76963,Commercial Bank,National Microfinance Bank Plc,Yes,01/07/96,1996-7-01
Pwani,Mafia,Kilindoni,-7.91439,39.66146,Commercial Bank,National Microfinance Bank Plc,No,13/09/11,2011-9-01
Singida,Manyoni,Manyoni,-5.74778,34.83752,Commercial Bank,National Microfinance Bank Plc,No,15/04/00,2000-4-01
Pwani,Mkuranga,Mkuranga,-7.1232,39.20245,Commercial Bank,National Microfinance Bank Plc,Yes,08/02/07,2007-2-01
Iringa,Njombe,Njombe Mjini,-9.33152,34.76814,Commercial Bank,National Microfinance Bank Plc,Yes,01/07/85,1985-7-01
Singida,Manyoni,Itigi,-5.69499,34.49939,Commercial Bank,National Microfinance Bank Plc,No,21/03/04,2004-3-01
Dodoma,Mpwapwa,Mpwapwa Mjini,-6.34938,36.48747,Commercial Bank,National Microfinance Bank Plc,Yes,25/09/03,2003-9-01
Kigoma,Kigoma Urban,Kigoma town,-4.88017,29.63155,Commercial Bank,National Microfinance Bank Plc,No,27/11/83,1983-11-01
Dodoma,Dodoma Urban,Ng'ong'ona,-6.22093,35.81019,Commercial Bank,National Microfinance Bank Plc,No,29/05/12,2012-5-01
Rukwa,Sumbawanga Urban,Katandala,-7.95983,31.61096,Commercial Bank,National Microfinance Bank Plc,Yes,31/12/01,2001-12-01
Kigoma,Kasulu,Kasulu Mjini,-4.5733,30.09721,Commercial Bank,National Microfinance Bank Plc,No,22/04/87,1987-4-01
Rukwa,Nkansi,Namanyere,-7.50253,31.03958,Commercial Bank,National Microfinance Bank Plc,Yes,01/10/97,1997-10-01
Kilimanjaro,Same,Same Mjini,-4.06711,37.73741,Commercial Bank,National Microfinance Bank Plc,Yes,05/08/75,1975-8-01
Dodoma,Kongwa,Kongwa,-6.19745,36.4146,Commercial Bank,National Microfinance Bank Plc,Yes,15/04/05,2005-4-01
Tabora,Sikonge,Sikonge,-5.61082,32.74512,Commercial Bank,National Microfinance Bank Plc,Yes,12/09/01,2001-9-01
Singida,Singida Urban,Majengo,-4.81879,34.75187,Commercial Bank,National Microfinance Bank Plc,Yes,10/03/00,2000-3-01
Kigoma,Kibondo,Kibondo Mjini,-3.58551,30.71895,Commercial Bank,National Microfinance Bank Plc,Yes,24/01/90,1990-1-01
Morogoro,Kilombero,Ifakara,-8.13761,36.67976,Commercial Bank,National Microfinance Bank Plc,Yes,11/04/99,1999-4-01
Rukwa,Mpanda,Kashaulili,-6.33951,31.07014,Commercial Bank,National Microfinance Bank Plc,Yes,27/08/74,1974-8-01
Tabora,Tabora Urban,Kanyenye,-5.02169,32.80706,Commercial Bank,National Microfinance Bank Plc,Yes,01/01/70,1970-1-01
Iringa,Makete,Lupalilo,-9.25803,34.09861,Commercial Bank,National Microfinance Bank Plc,Yes,01/07/97,1997-7-01
Singida,Iramba,Kiomboi,-4.27852,34.40684,Commercial Bank,National Microfinance Bank Plc,Yes,10/02/90,1990-2-01
Iringa,Njombe,Makambako,-8.84434,34.82328,Commercial Bank,National Microfinance Bank Plc,Yes,01/07/97,1997-7-01
Ruvuma,Mbinga,Litembo,-10.97951,34.82655,Commercial Bank,National Microfinance Bank Plc,Yes,25/02/95,1995-2-01
Mbeya,Kyela,Kyela Mjini,-9.60449,33.87136,Commercial Bank,National Microfinance Bank Plc,Yes,10/02/97,1997-2-01
Pwani,Kisarawe,Kisarawe,-6.90545,39.07378,Commercial Bank,National Microfinance Bank Plc,Yes,01/01/97,1997-1-01
Kilimanjaro,Mwanga,Mwanga,-3.65518,37.58924,Commercial Bank,National Microfinance Bank Plc,Yes,28/01/87,1987-1-01
Dar es Salaam,Temeke,Mbagala,-6.91126,39.26981,Commercial Bank,National Microfinance Bank Plc,Yes,06/07/05,2005-7-01
Dar es Salaam,Temeke,Miburani,-6.86354,39.26336,Commercial Bank,National Microfinance Bank Plc,Yes,02/11/97,1997-11-01
Mbeya,Ileje,Itumba,-9.40975,33.18331,Commercial Bank,National Microfinance Bank Plc,Yes,01/10/97,1997-10-01
Lindi,Nachingwea,Nambambo,-10.36237,38.76124,Commercial Bank,National Microfinance Bank Plc,Yes,01/10/97,1997-10-01
Kilimanjaro,Moshi Urban,Mawenzi,-3.35418,37.33967,Commercial Bank,National Microfinance Bank Plc,Yes,04/03/72,1972-3-01
Mbeya,Mbozi,Tunduma,-9.31214,32.76553,Commercial Bank,National Microfinance Bank Plc,Yes,24/06/75,1975-6-01
Mara,Tarime,Tarime,-1.3421,34.37695,Commercial Bank,National Microfinance Bank Plc,No,21/01/11,2011-1-01
Tanga,Kilindi,Songe,-5.57134,37.28975,Commercial Bank,National Microfinance Bank Plc,Yes,31/12/08,2008-12-01
Tabora,Igunga,Igunga,-4.28487,33.87483,Commercial Bank,National Microfinance Bank Plc,Yes,10/02/99,1999-2-01
Mbeya,Rungwe,Bulyaga,-9.25881,33.64597,Commercial Bank,National Microfinance Bank Plc,Yes,10/02/97,1997-2-01
Lindi,Ruangwa,Ruangwa,-10.0745,38.93625,Commercial Bank,National Microfinance Bank Plc,Yes,02/01/09,2009-1-01
Tanga,Handeni,Chanika,-5.42647,38.01688,Commercial Bank,National Microfinance Bank Plc,Yes,01/10/97,1997-10-01
Dar es Salaam,Ilala,Kipawa,-6.86228,39.20749,Commercial Bank,National Microfinance Bank Plc,Yes,04/09/10,2010-9-01
Dar es Salaam,Temeke,Kurasini,-6.85295,39.28283,Commercial Bank,National Microfinance Bank Plc,No,16/05/11,2011-5-01
Shinyanga,Meatu,Mwanhuze,-3.523,34.31014,Commercial Bank,National Microfinance Bank Plc,No,17/12/13,2013-12-01
Iringa,Iringa Urban,Gangilonga,-7.77677,35.69846,Commercial Bank,National Microfinance Bank Plc,Yes,01/02/97,1997-2-01
Dar es Salaam,Ilala,Tabata,-6.82059,39.2275,Commercial Bank,National Microfinance Bank Plc,No,16/02/14,2014-2-01
Dar es Salaam,Ilala,Kariakoo,-6.81987,39.27346,Commercial Bank,National Microfinance Bank Plc,Yes,11/08/08,2008-8-01
Shinyanga,Maswa,Nyalikungu,-3.1826,33.78071,Commercial Bank,National Microfinance Bank Plc,No,02/07/87,1987-7-01
Dar es Salaam,Ilala,Kariakoo,-6.81938,39.27807,Commercial Bank,National Microfinance Bank Plc,Yes,10/06/08,2008-6-01
Dar es Salaam,Ilala,Kisutu,-6.81801,39.28289,Commercial Bank,National Microfinance Bank Plc,Yes,01/02/00,2000-2-01
Dar es Salaam,Ilala,Kivukoni,-6.81737,39.29026,Commercial Bank,National Microfinance Bank Plc,No,13/12/89,1989-12-01
Dar es Salaam,Ilala,Kivukoni,-6.81564,39.28999,Commercial Bank,National Microfinance Bank Plc,No,02/05/02,2002-5-01
Dar es Salaam,Ilala,Kisutu,-6.81555,39.28809,Commercial Bank,National Microfinance Bank Plc,No,29/06/75,1975-6-01
Kilimanjaro,Moshi Urban,Kilimanjaro,-3.34631,37.34092,Commercial Bank,National Microfinance Bank Plc,Yes,04/01/00,2000-1-01
Dar es Salaam,Ilala,Kivukoni,-6.8127,39.28581,Commercial Bank,National Microfinance Bank Plc,Yes,17/08/12,2012-8-01
Lindi,Lindi Urban,Makonde,-9.99784,39.71537,Commercial Bank,National Microfinance Bank Plc,Yes,30/12/01,2001-12-01
Dar es Salaam,Kinondoni,Magomeni,-6.80697,39.25566,Commercial Bank,National Microfinance Bank Plc,Yes,05/01/07,2007-1-01
Dar es Salaam,Kinondoni,Ubungo,-6.79463,39.21475,Commercial Bank,National Microfinance Bank Plc,Yes,11/08/05,2005-8-01
Morogoro,Kilombero,Kidatu,-7.66169,36.9876,Commercial Bank,National Microfinance Bank Plc,No,01/08/00,2000-8-01
Dar es Salaam,Kinondoni,Ubungo,-6.7835,39.20731,Commercial Bank,National Microfinance Bank Plc,Yes,12/07/08,2008-7-01
Dodoma,Dodoma Urban,Viwandani,-6.17801,35.74629,Commercial Bank,National Microfinance Bank Plc,Yes,04/01/07,2007-1-01
Mbeya,Mbozi,Vwawa,-9.11133,32.93334,Commercial Bank,National Microfinance Bank Plc,Yes,16/07/97,1997-7-01
Ruvuma,Mbinga,Mbinga Urban,-10.95118,34.99629,Commercial Bank,National Microfinance Bank Plc,Yes,04/07/80,1980-7-01
Mbeya,Mbeya Rural,Utengule Usongwe,-8.93526,33.34227,Commercial Bank,National Microfinance Bank Plc,Yes,01/08/10,2010-8-01
Dar es Salaam,Kinondoni,Sinza,-6.77747,39.22775,Commercial Bank,National Microfinance Bank Plc,Yes,21/11/13,2013-11-01
Dar es Salaam,Kinondoni,Msasani,-6.77619,39.26828,Commercial Bank,National Microfinance Bank Plc,No,30/10/06,2006-10-01
Dar es Salaam,Kinondoni,Sinza,-6.7733,39.21967,Commercial Bank,National Microfinance Bank Plc,Yes,16/11/06,2006-11-01
Dar es Salaam,Kinondoni,Kijitonyama,-6.77073,39.23033,Commercial Bank,National Microfinance Bank Plc,Yes,15/03/05,2005-3-01
Dar es Salaam,Kinondoni,Mbezi,-6.70175,39.2077,Commercial Bank,National Microfinance Bank Plc,No,21/02/11,2011-2-01
Dar es Salaam,Kinondoni,Bunju,-6.6577,39.18026,Commercial Bank,National Microfinance Bank Plc,No,08/01/13,2013-1-01
Kilimanjaro,Moshi Rural,Marangu Magharibi,-3.28403,37.52312,Commercial Bank,National Microfinance Bank Plc,No,20/01/08,2008-1-01
Tabora,Nzega,Nzega Mjini,-4.21614,33.1867,Commercial Bank,National Microfinance Bank Plc,Yes,04/04/02,2002-4-01
Pwani,Bagamoyo,Dunda,-6.44641,38.90771,Commercial Bank,National Microfinance Bank Plc,Yes,01/10/97,1997-10-01
Dodoma,Dodoma Urban,Nzuguni,-6.14641,35.83213,Commercial Bank,National Microfinance Bank Plc,Yes,08/06/09,2009-6-01
Morogoro,Morogoro Urban,Mji Kuu,-6.82841,37.66351,Commercial Bank,National Microfinance Bank Plc,Yes,19/03/79,1979-3-01
Lindi,Liwale,Liwale Mjini,-9.80503,37.92694,Commercial Bank,National Microfinance Bank Plc,Yes,01/10/97,1997-10-01
Lindi,Kilwa,Masoko,-8.93061,39.5128,Commercial Bank,National Microfinance Bank Plc,Yes,01/01/70,1970-1-01
Shinyanga,Bariadi,Bariadi,-2.80155,33.98802,Commercial Bank,National Microfinance Bank Plc,Yes,02/09/74,1974-9-01
